Open_Time,Open,High,Low,Close,Volume
2023-01-10 22:25:00,17438.09,17439.45,17435.26,17436.41,80.09156
2023-01-10 22:26:00,17436.41,17437.01,17426.76,17428.62,197.24285
2023-01-10 22:27:00,17428.62,17429.9,17419.92,17425.81,408.72043
2023-01-10 22:28:00,17425.81,17433.3,17422.76,17432.94,124.77102
2023-01-10 22:29:00,17432.94,17439.24,17432.47,17438.11,97.83412
2023-01-10 22:30:00,17438.11,17438.75,17436.5,17438.37,44.97823
2023-01-10 22:31:00,17438.37,17440.98,17437.94,17440.74,51.41043
2023-01-10 22:32:00,17440.46,17444.45,17439.93,17444.12,82.14463
2023-01-10 22:33:00,17444.12,17445.97,17443.11,17444.94,70.52951
2023-01-10 22:34:00,17445.36,17445.7,17437.67,17438.49,74.60853
2023-01-10 22:35:00,17438.16,17440.0,17434.67,17436.99,116.19627
2023-01-10 22:36:00,17436.99,17437.69,17432.99,17433.58,86.50959
2023-01-10 22:37:00,17433.15,17434.34,17430.75,17432.9,88.61312
2023-01-10 22:38:00,17432.91,17433.65,17428.36,17432.2,85.1276
2023-01-10 22:39:00,17432.55,17433.59,17426.51,17427.45,99.93929
2023-01-10 22:40:00,17427.45,17427.47,17418.98,17420.43,125.79724
2023-01-10 22:41:00,17420.43,17426.1,17419.78,17424.74,112.45911
2023-01-10 22:42:00,17424.41,17426.32,17424.32,17425.79,69.00408
2023-01-10 22:43:00,17425.38,17427.94,17424.53,17425.94,193.82334
2023-01-10 22:44:00,17425.76,17428.02,17425.1,17426.35,103.05942
2023-01-10 22:45:00,17426.68,17430.32,17426.0,17430.02,66.81931
2023-01-10 22:46:00,17430.01,17433.39,17429.01,17433.2,77.9573
2023-01-10 22:47:00,17433.2,17435.0,17432.77,17434.86,27.15187
2023-01-10 22:48:00,17434.98,17440.16,17434.13,17439.38,54.31072
2023-01-10 22:49:00,17439.38,17445.28,17438.28,17444.83,91.26138
2023-01-10 22:50:00,17444.58,17446.27,17440.41,17440.71,94.02178
2023-01-10 22:51:00,17440.84,17442.24,17434.16,17434.91,126.54395
2023-01-10 22:52:00,17434.67,17435.1,17431.17,17432.53,97.72598
2023-01-10 22:53:00,17432.68,17440.29,17432.14,17439.24,119.80553
2023-01-10 22:54:00,17438.8,17444.41,17438.05,17441.21,95.26458
2023-01-10 22:55:00,17440.81,17441.68,17436.53,17437.38,100.86456
2023-01-10 22:56:00,17437.38,17437.55,17433.63,17434.35,83.28831
2023-01-10 22:57:00,17434.71,17443.35,17434.1,17438.42,115.93464
2023-01-10 22:58:00,17438.3,17439.27,17431.32,17431.36,133.57143
