Time,Open,High,Low,Close,Volume
2022-10-01 00:00:00,19422.61,19423.93,19408.72,19414.02,157.68832
2022-10-01 00:01:00,19414.02,19422.01,19407.0,19419.61,159.59968
2022-10-01 00:02:00,19420.73,19423.27,19412.2,19417.56,171.1093
2022-10-01 00:03:00,19416.16,19425.24,19410.25,19412.65,208.77319
2022-10-01 00:04:00,19412.66,19426.17,19410.89,19425.54,146.2346
2022-10-01 00:05:00,19426.15,19442.2,19419.8,19436.65,189.05955
2022-10-01 00:06:00,19436.65,19458.99,19435.52,19448.83,263.47558
2022-10-01 00:07:00,19447.75,19461.03,19444.7,19453.14,186.72557
2022-10-01 00:08:00,19453.13,19457.08,19449.94,19455.83,115.13519
2022-10-01 00:09:00,19456.81,19456.81,19435.01,19441.78,167.74011
2022-10-01 00:10:00,19441.78,19444.62,19434.8,19443.08,133.7895
2022-10-01 00:11:00,19443.46,19447.33,19437.68,19446.12,101.88973
2022-10-01 00:12:00,19446.12,19466.98,19445.79,19464.6,205.57223
2022-10-01 00:13:00,19464.6,19464.6,19452.29,19456.58,118.88461
2022-10-01 00:14:00,19456.58,19460.42,19454.52,19459.44,100.2726
2022-10-01 00:15:00,19460.16,19462.79,19448.29,19451.29,163.77062
2022-10-01 00:16:00,19452.51,19456.07,19450.0,19453.18,98.78035
2022-10-01 00:17:00,19453.18,19460.48,19450.67,19458.12,73.48963
2022-10-01 00:18:00,19458.12,19471.0,19457.01,19468.32,167.00078
2022-10-01 00:19:00,19467.8,19472.37,19465.62,19472.37,79.54118
2022-10-01 00:20:00,19471.52,19484.0,19470.64,19476.39,207.24465
2022-10-01 00:21:00,19476.39,19479.2,19462.65,19467.07,141.13906
2022-10-01 00:22:00,19467.07,19471.24,19462.8,19469.32,54.74455
2022-10-01 00:23:00,19469.32,19472.0,19464.39,19466.35,100.30164
2022-10-01 00:24:00,19467.3,19470.07,19463.58,19466.47,64.54971
2022-10-01 00:25:00,19466.47,19468.83,19430.0,19433.31,207.94675
2022-10-01 00:26:00,19433.31,19457.72,19433.31,19455.79,117.35522
2022-10-01 00:27:00,19455.78,19471.91,19455.75,19462.68,163.78915
2022-10-01 00:28:00,19462.68,19463.79,19448.36,19451.36,105.39783
2022-10-01 00:29:00,19450.57,19455.64,19448.06,19452.68,84.48939
2022-10-01 00:30:00,19451.71,19454.57,19429.52,19433.57,160.30927
2022-10-01 00:31:00,19434.48,19434.48,19411.33,19414.78,131.54024
2022-10-01 00:32:00,19413.73,19416.27,19373.95,19398.61,434.36188
2022-10-01 00:33:00,19398.61,19418.31,19394.36,19400.34,155.26808
2022-10-01 00:34:00,19401.38,19401.38,19392.74,19397.43,82.62974
2022-10-01 00:35:00,19397.43,19412.33,19395.59,19408.69,142.34569
2022-10-01 00:36:00,19409.68,19409.68,19372.78,19387.8,190.78631
2022-10-01 00:37:00,19387.8,19397.26,19378.32,19396.28,107.88884
2022-10-01 00:38:00,19396.28,19400.0,19388.81,19391.7,70.92414
2022-10-01 00:39:00,19393.0,19402.4,19388.19,19388.52,132.20042
2022-10-01 00:40:00,19389.7,19415.93,19388.52,19407.53,197.12738
2022-10-01 00:41:00,19407.53,19413.15,19396.69,19402.54,136.76238
2022-10-01 00:42:00,19401.91,19408.09,19393.04,19400.96,88.29009
2022-10-01 00:43:00,19400.96,19401.45,19351.02,19358.51,429.79159
2022-10-01 00:44:00,19358.51,19374.34,19352.03,19358.45,295.39606
2022-10-01 00:45:00,19358.45,19380.17,19355.03,19372.62,167.45051
2022-10-01 00:46:00,19374.31,19376.32,19354.85,19367.18,130.93295
2022-10-01 00:47:00,19365.94,19374.47,19361.67,19363.18,109.94893
2022-10-01 00:48:00,19362.35,19372.42,19355.6,19367.62,121.55059
2022-10-01 00:49:00,19367.12,19384.72,19363.85,19381.52,116.14454
2022-10-01 00:50:00,19381.52,19389.99,19371.9,19381.88,109.28984
2022-10-01 00:51:00,19381.88,19388.22,19381.79,19383.67,53.80353
2022-10-01 00:52:00,19384.67,19395.55,19379.87,19393.74,147.39339
2022-10-01 00:53:00,19393.74,19399.57,19391.22,19398.63,91.78849
