Time,Open,High,Low,Close,Volume
2022-05-01 00:00:00,37630.8,37665.29,37612.43,37645.92,85.80484
2022-05-01 00:01:00,37645.92,37645.93,37622.48,37642.29,28.27385
2022-05-01 00:02:00,37642.28,37684.71,37642.28,37672.1,70.97044
2022-05-01 00:03:00,37672.11,37738.97,37661.89,37737.08,81.17584
2022-05-01 00:04:00,37737.09,37737.09,37700.74,37717.79,38.4393
2022-05-01 00:05:00,37717.79,37722.05,37684.02,37711.91,23.574
2022-05-01 00:06:00,37711.91,37763.74,37711.9,37760.61,35.15786
2022-05-01 00:07:00,37760.62,37772.81,37740.0,37760.05,43.28872
2022-05-01 00:08:00,37760.06,37766.38,37733.41,37756.15,28.16118
2022-05-01 00:09:00,37756.15,37756.16,37730.0,37750.0,28.09077
2022-05-01 00:10:00,37750.0,37750.0,37687.85,37695.01,42.60412
2022-05-01 00:11:00,37695.0,37710.0,37680.05,37686.05,72.30155
2022-05-01 00:12:00,37686.05,37718.51,37661.2,37712.35,14.26575
2022-05-01 00:13:00,37712.34,37719.26,37670.0,37676.72,24.85817
2022-05-01 00:14:00,37676.71,37686.71,37666.87,37682.51,32.2538
2022-05-01 00:15:00,37682.52,37686.71,37673.6,37683.12,14.32445
2022-05-01 00:16:00,37683.12,37711.56,37680.29,37702.75,27.17176
2022-05-01 00:17:00,37702.75,37708.76,37689.55,37708.41,13.84219
2022-05-01 00:18:00,37708.42,37708.42,37663.22,37665.0,25.602
2022-05-01 00:19:00,37665.0,37676.34,37653.72,37660.3,12.60366
2022-05-01 00:20:00,37660.3,37670.0,37634.98,37670.0,22.90596
2022-05-01 00:21:00,37670.0,37690.0,37656.87,37661.89,25.87353
2022-05-01 00:22:00,37664.56,37664.56,37647.66,37659.99,10.83024
2022-05-01 00:23:00,37659.99,37659.99,37640.52,37654.63,21.44689
2022-05-01 00:24:00,37654.63,37674.3,37632.17,37670.94,19.62936
2022-05-01 00:25:00,37670.95,37670.95,37637.57,37638.0,17.83014
2022-05-01 00:26:00,37638.0,37660.0,37638.0,37645.53,20.77274
2022-05-01 00:27:00,37645.53,37649.66,37632.41,37632.42,28.3831
2022-05-01 00:28:00,37632.42,37649.21,37621.75,37645.24,25.18091
2022-05-01 00:29:00,37645.24,37645.25,37626.26,37632.85,27.3231
2022-05-01 00:30:00,37632.85,37632.85,37601.0,37601.02,33.48962
2022-05-01 00:31:00,37601.02,37609.38,37500.0,37511.52,516.07004
2022-05-01 00:32:00,37511.51,37742.43,37511.51,37724.17,132.63497
2022-05-01 00:33:00,37724.18,37724.18,37637.0,37672.67,60.65832
2022-05-01 00:34:00,37672.67,37727.31,37661.01,37718.33,39.26386
2022-05-01 00:35:00,37718.34,37748.9,37700.0,37729.91,55.17677
2022-05-01 00:36:00,37729.92,37774.92,37721.68,37774.91,32.74571
2022-05-01 00:37:00,37774.92,37780.98,37750.0,37780.12,32.31946
2022-05-01 00:38:00,37780.13,37794.82,37766.25,37794.82,24.52158
2022-05-01 00:39:00,37794.82,37804.72,37784.66,37793.44,59.81485
2022-05-01 00:40:00,37793.44,37806.79,37734.99,37753.05,38.08301
2022-05-01 00:41:00,37753.05,37776.96,37730.62,37730.62,39.41912
2022-05-01 00:42:00,37730.63,37746.31,37724.53,37736.69,21.87742
2022-05-01 00:43:00,37736.68,37747.26,37732.43,37732.53,8.05218
2022-05-01 00:44:00,37732.53,37735.74,37710.08,37723.15,10.6162
2022-05-01 00:45:00,37723.14,37727.07,37704.49,37713.25,12.83044
2022-05-01 00:46:00,37713.25,37713.25,37689.8,37689.8,9.69495
2022-05-01 00:47:00,37689.8,37713.12,37661.91,37697.39,40.82223
2022-05-01 00:48:00,37697.38,37710.0,37672.32,37679.58,10.51404
2022-05-01 00:49:00,37679.58,37701.92,37679.57,37693.89,12.33795
2022-05-01 00:50:00,37693.89,37697.34,37648.99,37673.96,27.47195
2022-05-01 00:51:00,37673.96,37691.52,37650.62,37680.86,14.09077
2022-05-01 00:52:00,37680.86,37709.06,37680.81,37687.36,23.40248
2022-05-01 00:53:00,37687.37,37707.97,37683.01,37683.01,10.04043
2022-05-01 00:54:00,37683.02,37690.6,37670.85,37690.59,9.31501
2022-05-01 00:55:00,37690.6,37714.17,37681.67,37706.63,21.99037
2022-05-01 00:56:00,37706.63,37714.17,37700.96,37705.31,12.02775
2022-05-01 00:57:00,37705.31,37712.87,37670.49,37679.92,16.86286
2022-05-01 00:58:00,37679.91,37692.46,37679.91,37689.51,15.72212
2022-05-01 00:59:00,37689.51,37689.9,37680.66,37680.67,9.02904
2022-05-01 01:00:00,37680.66,37680.67,37650.05,37670.0,15.71328
2022-05-01 01:01:00,37670.01,37734.46,37670.0,37720.54,19.02677
2022-05-01 01:02:00,37720.54,37720.54,37702.54,37717.92,9.207
